sample_id,sample_position,geometry,mode,teacher_index,answer_index,approximate_index,candidate_kl,prediction_match,baseline_correct,approximate_correct,harmful,quotient_token_count,token_retention
vsi_question_1039,81,flat_contiguous_4,positioned_equal_mass,0,1,2,0.060313254594802856,0,0,0,0,392,0.25
vsi_question_1039,81,flat_contiguous_4,positioned_group_mass,0,1,2,0.24480962753295898,0,0,0,0,392,0.25
vsi_question_1039,81,spatial_2x2,positioned_equal_mass,0,1,2,0.04139447957277298,0,0,0,0,392,0.25
vsi_question_1039,81,spatial_2x2,positioned_group_mass,0,1,2,0.03758043423295021,0,0,0,0,392,0.25
vsi_question_5150,82,flat_contiguous_4,positioned_equal_mass,0,2,0,0.007930472493171692,1,0,0,0,392,0.25
vsi_question_5150,82,flat_contiguous_4,positioned_group_mass,0,2,0,0.014767225831747055,1,0,0,0,392,0.25
vsi_question_5150,82,spatial_2x2,positioned_equal_mass,0,2,0,0.001847495324909687,1,0,0,0,392,0.25
vsi_question_5150,82,spatial_2x2,positioned_group_mass,0,2,0,0.012683604843914509,1,0,0,0,392,0.25
vsi_question_5067,83,flat_contiguous_4,positioned_equal_mass,2,2,2,0.0148715078830719,1,1,1,0,392,0.25
vsi_question_5067,83,flat_contiguous_4,positioned_group_mass,2,2,2,0.006486523896455765,1,1,1,0,392,0.25
vsi_question_5067,83,spatial_2x2,positioned_equal_mass,2,2,2,0.011641807854175568,1,1,1,0,392,0.25
vsi_question_5067,83,spatial_2x2,positioned_group_mass,2,2,2,0.005020759999752045,1,1,1,0,392,0.25
vsi_question_1976,84,flat_contiguous_4,positioned_equal_mass,0,1,0,0.05227077007293701,1,0,0,0,392,0.25
vsi_question_1976,84,flat_contiguous_4,positioned_group_mass,0,1,2,0.16328711807727814,0,0,0,0,392,0.25
vsi_question_1976,84,spatial_2x2,positioned_equal_mass,0,1,0,0.03179965168237686,1,0,0,0,392,0.25
vsi_question_1976,84,spatial_2x2,positioned_group_mass,0,1,0,0.09323734790086746,1,0,0,0,392,0.25
vsi_question_1077,85,flat_contiguous_4,positioned_equal_mass,2,2,0,0.03945982828736305,0,1,0,1,392,0.25
vsi_question_1077,85,flat_contiguous_4,positioned_group_mass,2,2,0,0.05211055278778076,0,1,0,1,392,0.25
vsi_question_1077,85,spatial_2x2,positioned_equal_mass,2,2,0,0.017413847148418427,0,1,0,1,392,0.25
vsi_question_1077,85,spatial_2x2,positioned_group_mass,2,2,2,0.012061983346939087,1,1,1,0,392,0.25
vsi_question_3092,86,flat_contiguous_4,positioned_equal_mass,1,1,1,0.06044946610927582,1,1,1,0,392,0.25
vsi_question_3092,86,flat_contiguous_4,positioned_group_mass,1,1,0,0.04498966038227081,0,1,0,1,392,0.25
vsi_question_3092,86,spatial_2x2,positioned_equal_mass,1,1,1,0.09975654631853104,1,1,1,0,392,0.25
vsi_question_3092,86,spatial_2x2,positioned_group_mass,1,1,1,0.0630149096250534,1,1,1,0,392,0.25
vsi_question_5025,87,flat_contiguous_4,positioned_equal_mass,1,0,1,0.0015083616599440575,1,0,0,0,392,0.25
vsi_question_5025,87,flat_contiguous_4,positioned_group_mass,1,0,1,0.0018908586353063583,1,0,0,0,392,0.25
vsi_question_5025,87,spatial_2x2,positioned_equal_mass,1,0,1,0.0019158534705638885,1,0,0,0,392,0.25
vsi_question_5025,87,spatial_2x2,positioned_group_mass,1,0,1,0.0019515370950102806,1,0,0,0,392,0.25
vsi_question_5074,88,flat_contiguous_4,positioned_equal_mass,0,3,0,0.0047396644949913025,1,0,0,0,392,0.25
vsi_question_5074,88,flat_contiguous_4,positioned_group_mass,0,3,0,0.005981585010886192,1,0,0,0,392,0.25
vsi_question_5074,88,spatial_2x2,positioned_equal_mass,0,3,0,0.011510752141475677,1,0,0,0,392,0.25
vsi_question_5074,88,spatial_2x2,positioned_group_mass,0,3,2,0.004739662632346153,0,0,0,0,392,0.25
vsi_question_5086,89,flat_contiguous_4,positioned_equal_mass,0,1,0,0.01716046780347824,1,0,0,0,392,0.25
vsi_question_5086,89,flat_contiguous_4,positioned_group_mass,0,1,0,0.024134203791618347,1,0,0,0,392,0.25
vsi_question_5086,89,spatial_2x2,positioned_equal_mass,0,1,0,0.006768825463950634,1,0,0,0,392,0.25
vsi_question_5086,89,spatial_2x2,positioned_group_mass,0,1,0,0.0018833042122423649,1,0,0,0,392,0.25
vsi_question_1058,90,flat_contiguous_4,positioned_equal_mass,2,0,2,0.03885657340288162,1,0,0,0,392,0.25
vsi_question_1058,90,flat_contiguous_4,positioned_group_mass,2,0,2,0.04678119719028473,1,0,0,0,392,0.25
vsi_question_1058,90,spatial_2x2,positioned_equal_mass,2,0,2,0.010950319468975067,1,0,0,0,392,0.25
vsi_question_1058,90,spatial_2x2,positioned_group_mass,2,0,2,0.008271705359220505,1,0,0,0,392,0.25
vsi_question_994,91,flat_contiguous_4,positioned_equal_mass,1,1,1,0.013236910104751587,1,1,1,0,392,0.25
vsi_question_994,91,flat_contiguous_4,positioned_group_mass,1,1,1,0.031790174543857574,1,1,1,0,392,0.25
vsi_question_994,91,spatial_2x2,positioned_equal_mass,1,1,1,0.013213198632001877,1,1,1,0,392,0.25
vsi_question_994,91,spatial_2x2,positioned_group_mass,1,1,1,0.04699431359767914,1,1,1,0,392,0.25
vsi_question_1950,92,flat_contiguous_4,positioned_equal_mass,0,1,0,0.05952385067939758,1,0,0,0,392,0.25
vsi_question_1950,92,flat_contiguous_4,positioned_group_mass,0,1,0,0.06003649905323982,1,0,0,0,392,0.25
vsi_question_1950,92,spatial_2x2,positioned_equal_mass,0,1,0,0.06184552237391472,1,0,0,0,392,0.25
vsi_question_1950,92,spatial_2x2,positioned_group_mass,0,1,0,0.17116320133209229,1,0,0,0,392,0.25
vsi_question_2991,93,flat_contiguous_4,positioned_equal_mass,0,0,0,0.10426238179206848,1,1,1,0,392,0.25
vsi_question_2991,93,flat_contiguous_4,positioned_group_mass,0,0,1,0.25502467155456543,0,1,0,1,392,0.25
vsi_question_2991,93,spatial_2x2,positioned_equal_mass,0,0,2,0.5256101489067078,0,1,0,1,392,0.25
vsi_question_2991,93,spatial_2x2,positioned_group_mass,0,0,1,0.41159576177597046,0,1,0,1,392,0.25
vsi_question_1071,94,flat_contiguous_4,positioned_equal_mass,1,0,1,0.015352457761764526,1,0,0,0,392,0.25
vsi_question_1071,94,flat_contiguous_4,positioned_group_mass,1,0,1,0.012966632843017578,1,0,0,0,392,0.25
vsi_question_1071,94,spatial_2x2,positioned_equal_mass,1,0,1,0.0012567713856697083,1,0,0,0,392,0.25
vsi_question_1071,94,spatial_2x2,positioned_group_mass,1,0,1,0.008200449869036674,1,0,0,0,392,0.25
vsi_question_1224,95,flat_contiguous_4,positioned_equal_mass,2,0,2,0.02280975505709648,1,0,0,0,392,0.25
vsi_question_1224,95,flat_contiguous_4,positioned_group_mass,2,0,2,0.006341477856040001,1,0,0,0,392,0.25
vsi_question_1224,95,spatial_2x2,positioned_equal_mass,2,0,2,0.02280975505709648,1,0,0,0,392,0.25
vsi_question_1224,95,spatial_2x2,positioned_group_mass,2,0,2,0.0,1,0,0,0,392,0.25
vsi_question_5089,96,flat_contiguous_4,positioned_equal_mass,0,2,0,0.008070548996329308,1,0,0,0,392,0.25
vsi_question_5089,96,flat_contiguous_4,positioned_group_mass,0,2,0,0.031206762418150902,1,0,0,0,392,0.25
vsi_question_5089,96,spatial_2x2,positioned_equal_mass,0,2,0,0.0007900181226432323,1,0,0,0,392,0.25
vsi_question_5089,96,spatial_2x2,positioned_group_mass,0,2,0,0.003432687371969223,1,0,0,0,392,0.25
