sample_id,task,selector,reference_variant,candidate_variant,transition,prediction_changed,reference_correct,candidate_correct,reference_prediction,candidate_prediction,answer,question,frame_indices,pool_reconstruction_error,selected_reconstruction_error
action_sequence_0106,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Washed the dish.,Washed the dish.,Put down the book.,What happened after the person sat at the table?,"[313, 326, 339, 352, 365, 377, 390, 403]",0.04293075203895569,0.04405051842331886
action_sequence_0113,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Took the clothes.,What happened before the person opened the refrigerator?,"[300, 313, 325, 337, 350, 362, 374, 386]",0.07426103204488754,0.07404792308807373
action_sequence_0125,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Took the picture.,Took the picture.,Opened the book.,What happened after the person sat at the table?,"[310, 322, 335, 348, 360, 373, 386, 398]",0.05217006802558899,0.05242320895195007
action_sequence_0126,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Took the broom.,Took the broom.,Took the broom.,What happened after the person sat on the floor?,"[188, 196, 203, 211, 219, 226, 234, 242]",0.07376298308372498,0.07245989143848419
action_sequence_0137,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Put down the cup/glass/bottle.,Put down the cup/glass/bottle.,Closed the laptop.,What happened before the person opened the closet/cabinet?,"[330, 344, 357, 371, 384, 398, 411, 425]",0.08543159812688828,0.08566467463970184
action_sequence_0147,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Took the picture.,Took the picture.,Took the paper/notebook.,What happened before the person held the book?,"[298, 310, 322, 335, 347, 359, 371, 383]",0.06427989155054092,0.06479162722826004
action_sequence_0151,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Sat on the sofa/couch.,Sat on the sofa/couch.,Closed the laptop.,What happened before the person took the food?,"[252, 262, 273, 283, 293, 304, 314, 324]",0.06359776854515076,0.06355272233486176
action_sequence_0154,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Closed the refrigerator.,Closed the refrigerator.,Took the towel.,What happened after the person closed the door?,"[225, 234, 243, 252, 261, 271, 280, 289]",0.06294657289981842,0.062496479600667953
action_sequence_0155,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Took the towel.,What happened before the person held the clothes?,"[204, 212, 221, 229, 237, 246, 254, 262]",0.04309283196926117,0.04391500726342201
action_sequence_0156,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Took the picture.,Took the picture.,Put down the dish.,What happened before the person took the phone/camera?,"[272, 283, 294, 305, 317, 328, 339, 350]",0.07186877727508545,0.07495124638080597
action_sequence_0158,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Closed the box.,What happened after the person put down the towel?,"[266, 277, 288, 299, 309, 320, 331, 342]",0.0650242418050766,0.0637943372130394
action_sequence_0161,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Took the book.,Took the book.,Took the book.,What happened after the person put down the laptop?,"[108, 113, 117, 122, 126, 130, 135, 139]",0.06305627524852753,0.06272364407777786
action_sequence_0163,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Closed the refrigerator.,Closed the refrigerator.,Closed the refrigerator.,What happened after the person put down the food?,"[182, 190, 197, 205, 212, 220, 227, 235]",0.042972907423973083,0.04320424050092697
action_sequence_0168,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Opened the door.,Opened the door.,Put down the sandwich.,What happened after the person took the cup/glass/bottle?,"[120, 125, 130, 134, 139, 144, 149, 154]",0.07914254069328308,0.0794072151184082
action_sequence_0173,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Closed the refrigerator.,Closed the refrigerator.,Closed the refrigerator.,What happened before the person held the sandwich?,"[259, 270, 280, 291, 301, 312, 323, 333]",0.06205357238650322,0.06166530400514603
action_sequence_0177,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Opened the closet/cabinet.,Opened the closet/cabinet.,Opened the closet/cabinet.,What happened after the person put down the clothes?,"[114, 118, 123, 128, 132, 137, 142, 146]",0.05137168616056442,0.051374513655900955
action_sequence_0183,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Opened the bag.,Opened the bag.,Put down the paper/notebook.,What happened after the person held the laptop?,"[450, 468, 486, 505, 523, 542, 560, 578]",0.06836509704589844,0.06624552607536316
action_sequence_0187,action_sequence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Took the dish.,Took the dish.,Took the dish.,What happened after the person opened the bag?,"[148, 154, 160, 166, 172, 178, 184, 190]",0.08570559322834015,0.08737725764513016
action_sequence_0190,action_sequence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Put down the phone/camera.,Put down the phone/camera.,Took the sandwich.,What happened before the person closed the closet/cabinet?,"[163, 169, 176, 183, 189, 196, 203, 209]",0.0718809962272644,0.07162435352802277
moving_direction_0003,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Down and to the left.,In which direction does the blue cube move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.0310923233628273,0.030837407335639
moving_direction_0005,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the gray sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.025466911494731903,0.026388872414827347
moving_direction_0007,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,Can you identify the direction of the brown sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028149671852588654,0.028468450531363487
moving_direction_0020,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02845419943332672,0.028469368815422058
moving_direction_0026,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,What direction is the green sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02669985219836235,0.027114486321806908
moving_direction_0044,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the red sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02826826274394989,0.02817463129758835
moving_direction_0046,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the gray sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028513284400105476,0.029603589326143265
moving_direction_0047,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,What direction is the gray sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02740115113556385,0.026519473642110825
moving_direction_0066,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the red sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02780231647193432,0.02857488952577114
moving_direction_0067,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the blue sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026665078476071358,0.026081275194883347
moving_direction_0071,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the gray cube's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027680326253175735,0.0295618437230587
moving_direction_0075,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,What direction is the red sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026785559952259064,0.027342069894075394
moving_direction_0081,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Up and to the left.,Can you identify the direction of the red sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.029473967850208282,0.03012622706592083
moving_direction_0083,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the green sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02687665820121765,0.026742808520793915
moving_direction_0085,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the yellow sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.0279825609177351,0.027251042425632477
moving_direction_0088,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Down and to the right.,Down and to the right.,Down and to the left.,What direction is the cyan cylinder moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02947382815182209,0.029722245410084724
moving_direction_0090,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,In which direction does the red sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.03225824609398842,0.033610302954912186
moving_direction_0092,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Down and to the right.,Down and to the right.,Up and to the right.,Can you identify the direction of the red sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.029078861698508263,0.02844216488301754
moving_direction_0097,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,In which direction does the blue sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02718307636678219,0.027259722352027893
moving_direction_0099,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,Up and to the right.,Up and to the right.,Down and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02852322719991207,0.02902648039162159
moving_direction_0101,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the yellow sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027371075004339218,0.026762954890727997
moving_direction_0104,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the yellow sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02449849620461464,0.02408134937286377
moving_direction_0110,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the right.,What direction is the cyan cylinder moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027252331376075745,0.02696346491575241
moving_direction_0114,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,1,0,0,Up and to the left.,Up and to the right.,Down and to the left.,What direction is the blue cube moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.025934528559446335,0.02619614452123642
moving_direction_0118,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the right.,Can you identify the direction of the purple sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.025625310838222504,0.025736870244145393
moving_direction_0119,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the gray sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02823873981833458,0.028649643063545227
moving_direction_0122,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the cyan cube moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026897253468632698,0.02724585495889187
moving_direction_0123,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the cyan sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02902756817638874,0.030247580260038376
moving_direction_0124,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the blue sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02740093506872654,0.027254313230514526
moving_direction_0125,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the brown sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.030388016253709793,0.03067607618868351
moving_direction_0129,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,Can you identify the direction of the cyan cylinder's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02590646967291832,0.02624310366809368
moving_direction_0133,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Down and to the left.,What direction is the cyan sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026990598067641258,0.028257401660084724
moving_direction_0144,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,In which direction does the red sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.025793852284550667,0.025591477751731873
moving_direction_0154,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the green sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02698177471756935,0.026481762528419495
moving_direction_0166,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,Up and to the right.,Up and to the right.,Up and to the right.,In which direction does the brown sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027488568797707558,0.026467710733413696
moving_direction_0168,moving_direction,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,The object is stationary.,The object is stationary.,Up and to the left.,In which direction does the gray sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02690592035651207,0.027099009603261948
moving_direction_0169,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the purple sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02646273747086525,0.02709762565791607
moving_direction_0181,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,What direction is the brown sphere moving in within the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.029344191774725914,0.028682652860879898
moving_direction_0182,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,Can you identify the direction of the yellow sphere's movement in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.03131423518061638,0.03000510111451149
moving_direction_0183,moving_direction,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,The object is stationary.,The object is stationary.,The object is stationary.,In which direction does the red sphere move in the video?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026547251269221306,0.02567531354725361
object_existence_0003,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any stationary objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02818789705634117,0.02902720496058464
object_existence_0010,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any moving yellow objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02813870459794998,0.027454545721411705
object_existence_0013,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any purple spheres that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027253994718194008,0.02706860564649105
object_existence_0018,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any rubber spheres that exit the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.033799558877944946,0.0339961051940918
object_existence_0019,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any stationary green objects?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028309106826782227,0.028394047170877457
object_existence_0020,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any stationary cyan objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02921043336391449,0.028619879856705666
object_existence_0025,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving spheres?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028406435623764992,0.029571419581770897
object_existence_0026,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any stationary spheres?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028551440685987473,0.02749534510076046
object_existence_0031,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02699248120188713,0.027246754616498947
object_existence_0032,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any moving spheres?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028886709362268448,0.029080567881464958
object_existence_0036,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any moving spheres when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02977129817008972,0.030343517661094666
object_existence_0038,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any objects that exit the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02780018374323845,0.027311943471431732
object_existence_0040,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving cylinders when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.028210362419486046,0.02784424088895321
object_existence_0046,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any blue objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027710191905498505,0.026983855292201042
object_existence_0061,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any gray cubes that exit the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02737479656934738,0.02649533934891224
object_existence_0064,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary cylinders when the video begins?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02700737863779068,0.027031507343053818
object_existence_0066,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary purple objects when the video begins?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02958306297659874,0.029484117403626442
object_existence_0068,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary red objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02860289067029953,0.029125839471817017
object_existence_0077,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any stationary gray objects when the video ends?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.03161865472793579,0.03108757920563221
object_existence_0082,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any metal objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027145132422447205,0.026495708152651787
object_existence_0083,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any moving cubes?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026658495888113976,0.026411065831780434
object_existence_0085,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,no,no,no,Are there any stationary cylinders?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026732107624411583,0.026452112942934036
object_existence_0089,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any gray objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027590783312916756,0.027241915464401245
object_existence_0093,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any gray objects that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.029526369646191597,0.02991928718984127
object_existence_0097,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any stationary cylinders?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026522040367126465,0.0264864731580019
object_existence_0102,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving yellow objects?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.027584122493863106,0.02752145379781723
object_existence_0104,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any rubber cylinders that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.02762753702700138,0.02778203971683979
object_existence_0130,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,yes,yes,no,Are there any brown cylinders that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.0267189834266901,0.026841701939702034
object_existence_0135,object_existence,exact_recent,full,pca_r256_s4,stable_wrong,0,0,0,no,no,yes,Are there any moving rubber objects?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.026053741574287415,0.025980180129408836
object_existence_0137,object_existence,exact_recent,full,pca_r256_s4,stable_correct,0,1,1,yes,yes,yes,Are there any cylinders that enter the scene?,"[98, 102, 106, 110, 114, 118, 122, 126]",0.029369261115789413,0.029922934249043465
