mode,sample_id,sample_position,flat_candidate_kl,spatial_candidate_kl,spatial_minus_flat_kl,spatial_kl_win,flat_prediction_match,spatial_prediction_match,flat_harmful,spatial_harmful
positioned_group_mass,vsi_question_1053,80,0.056364670395851135,0.0019037574529647827,-0.05446091294288635,1,1,1,0,0
positioned_group_mass,vsi_question_1039,81,0.24480962753295898,0.03758043423295021,-0.20722919330000877,1,0,0,0,0
positioned_group_mass,vsi_question_5150,82,0.014767225831747055,0.012683604843914509,-0.0020836209878325462,1,1,1,0,0
positioned_group_mass,vsi_question_5067,83,0.006486523896455765,0.005020759999752045,-0.00146576389670372,1,1,1,0,0
positioned_group_mass,vsi_question_1976,84,0.16328711807727814,0.09323734790086746,-0.07004977017641068,1,0,1,0,0
positioned_group_mass,vsi_question_1077,85,0.05211055278778076,0.012061983346939087,-0.040048569440841675,1,0,1,1,0
positioned_group_mass,vsi_question_3092,86,0.04498966038227081,0.0630149096250534,0.018025249242782593,0,0,1,1,0
positioned_group_mass,vsi_question_5025,87,0.0018908586353063583,0.0019515370950102806,6.067845970392227e-05,0,1,1,0,0
positioned_group_mass,vsi_question_5074,88,0.005981585010886192,0.004739662632346153,-0.001241922378540039,1,1,0,0,0
positioned_group_mass,vsi_question_5086,89,0.024134203791618347,0.0018833042122423649,-0.022250899579375982,1,1,1,0,0
positioned_group_mass,vsi_question_1058,90,0.04678119719028473,0.008271705359220505,-0.038509491831064224,1,1,1,0,0
positioned_group_mass,vsi_question_994,91,0.031790174543857574,0.04699431359767914,0.015204139053821564,0,1,1,0,0
positioned_group_mass,vsi_question_1950,92,0.06003649905323982,0.17116320133209229,0.11112670227885246,0,1,1,0,0
positioned_group_mass,vsi_question_2991,93,0.25502467155456543,0.41159576177597046,0.15657109022140503,0,0,0,1,1
positioned_group_mass,vsi_question_1071,94,0.012966632843017578,0.008200449869036674,-0.004766182973980904,1,1,1,0,0
positioned_group_mass,vsi_question_1224,95,0.006341477856040001,0.0,-0.006341477856040001,1,1,1,0,0
positioned_group_mass,vsi_question_5089,96,0.031206762418150902,0.003432687371969223,-0.02777407504618168,1,1,1,0,0
